CONTRACT_ID,UPC,DESCRIPTION,CITY_COUNTY,MANAGER_EMAIL,CONSTRUCTION_COMPANY,ON_TIME_STATUS,ON_BUDGET_STATUS,CONTRACT_AWARD_AMOUNT,COST_OF_WORK_TO_DATE,ORIGINAL_SPECIFIED_COMPLETION_DATE
12993,12993,RTE 614 - BRIDGE REPLACEMENT,Greensville County,Keisha.Wilkins@vdot.virginia.gov,Curtis Contracting,G,G,2203901,2125768,2020-12-09
56454,56454,CONSTRUCTION OF ROUND HILL-FRANKLIN PARK TRAIL,Loudoun County,veljibhai.desai@vdot.virginia.gov,Highway Safety Services,G,G,4006157,889438,2022-03-14
70578,70578,PED AND ADA IMPROVEMENTS @ MAIN ST & MAPLE AVE-PURCELLVILLE,Purcellville,rita.hockman@vdot.virginia.gov,Arthur Construction,G,G,97775,100910,2019-06-17
75919,75919,RTE 711 -JUGGINS ROAD RECONSTRUCTION,Stafford County,Stephanie.Lagarile@vdot.virginia.gov,"Tavares Concrete Co., Inc.",G,G,1336448,1280313,2019-07-19
4483,4483,#HB2.FY17 ATKINSON BLVD - 4 LANES ,Newport News,Chessica.Villaflores@vdot.virginia.gov,Bryant Basic JV,R,G,60847889,52328918,2020-08-31
45061,111407,#SMART18 - Rte 419 & Rte 221 Adaptive Traffic Control,Roanoke County,John.Bisnett@vdot.virginia.gov,"Digital Traffic Systems, Inc.",G,G,603457,584368,2020-04-20
60933,60933,RTE 9999 - DABBS HOUSE RD; RECONSTRUCTION,Henrico County,Cynthia.Crouch@vdot.virginia.gov,"Shoosmith Construction , Inc",G,G,7775000,1257100,2022-10-31
75267,75267,CITY OF POQUOSON - POQUOSON MUSEUM,Poquoson,Chessica.Villaflores@vdot.virginia.gov,F & H Builders,R,G,179888,186928,2020-01-21
78214,78214,TOWN OF FRIES - Welcome Center & Trailhead construction,Fries,Roger.Musser@VDOT.Virginia.gov,SIMCON Company LLC,R,G,664500,116826,2021-03-02
81667,81667,RTE 615 (CREIGHTON RD) - ROUNDABOUT,Hanover County,brian.lokker@vdot.virginia.gov,J. L. Kent and Sons,R,G,3859998,3744184,2020-05-23
87005,87005,Pulaski County - New River Trail Extension,Pulaski County,Adam.Czesnowski@vdot.virginia.gov,"Inland Construction, Inc.",R,R,746775,845680,2019-09-07
87616,87616,Revenue Sharing - Tevis Street Extension,Frederick County,Steven.Damron@VDOT.Virginia.gov,Perry Engineering,G,G,10715586,9551765,2021-09-10
77378,77378,EISENHOWER AVENUE WIDENING AND REMOVE TRAFFIC CIRCLE,Alexandria,rita.hockman@vdot.virginia.gov,Sagres Construction Corporation,G,G,6572817,6758,2022-06-22
80485,80485,"IMPROVE DOWNTOWN STAUNTON, VA, STREETSCAPE",Staunton,Michael.Fulcher@VDOT.Virginia.gov,"Messer Contracting, LLC",G,G,1937099,422635,2022-06-30
87002,87002,RTE. 220B - Henry County - Collinsville Streetscaping ,Henry County,Cheryl.Becker@vdot.virginia.gov,Gary W Smith Contractor Inc,R,G,399791,380454,2019-10-15
87071,87071,"Add curb, sidewalk, and bike lanes",Bridgewater,Michael.Fulcher@VDOT.Virginia.gov,Partners Excavating Company,G,G,1728382,795307,2021-06-30
91227,91227,Streetscaping improvements along Main Street,Fauquier County,John.Price@VDOT.Virginia.gov,"Shirley Contracting Company, LLC",G,G,4386772,0,2022-12-31
91248,91248,CONSTRUCTION OF SIDEWALKS AND CROSSWALKS,Round Hill,Veljibhai.Desai@vdot.virginia.gov,Highway Safety Services,G,G,2193731,176868,2022-03-14
97735,97735,Jefferson Street (Rte 625) Pedestrian Improvements,Haymarket,veljibhai.desai@vdot.virginia.gov,M & F Concrete Inc,R,G,408388,341284,2021-11-17
98815,98815,#HB2.FY17 Godwin Blvd/Route 58 Park & Ride Lot,Nansemond County extinct - City of Suffolk (2006),Joshua.Negovan@vdot.virginia.gov,Shamrock Construction Corporation,R,G,697950,758856,2018-05-28
88830,88830,#SMART18 - BUS 15 - CONSTRUCT LTL @ UR3860 (MILNWOOD RD),Farmville,Sharon.White@VDOT.Virginia.gov,"Pearson Construction, Inc.",G,G,1304168,1303432,2020-07-11
91228,91228,1/2 mi. paved bicycle/pedestrian trail at Woods of Warrenton,Fauquier County,John.Price@VDOT.Virginia.gov,"Groundscapes,LLc",R,Y,686860,638466,2020-05-28
97553,97553,"C503, landscaping and amenities at Copper Creek overlook",Scott County,Tabitha.Crowder@vdot.virginia.gov,Park Warehouse,G,G,3379,3379,2018-11-01
98304,98304,TAZEWELL COUNTY FY 11 REVENUE SHARING LOCALLY ADMINISTERED,Tazewell County,Tabitha.Crowder@vdot.virginia.gov,Inland Construction,R,R,618491,837875,2019-09-30
100822,100822,#HB2.FY17 PHASE I - MOUNT CROSS ROAD WIDENING,Danville,Sharon.White@VDOT.Virginia.gov,Virginia Carolina Paving company,R,G,3499412,3533810,2019-11-01
101020,101020,#HB2.FY17 RTE 10 (BERMUDA TRIANGLE RD TO MEADOWVILLE RD) ,Chesterfield County,brian.lokker@vdot.virginia.gov,Branscome Inc,R,G,42595555,20094644,2022-04-16
101274,101274,Victory Industrial Pk /Add culverts (Rte 17) ,York County,Chessica.Villaflores@vdot.virginia.gov,Henry S. Branscome LLC,G,G,1784353,1784353,2019-12-21
101279,101279,#HB2.FY17 Replacement of bridge over Lake Maury,Newport News,Chessica.Villaflores@vdot.virginia.gov,Infrastructure & Industrial Constructors Southeast,R,G,7912873,8668771,2018-12-25
98883,98883,RTE 144 (TEMPLE AVE) - SIGNAL COORDINATION,Colonial Heights,Brian.Lokker@vdot.virginia.gov,B&B Signal Company,R,G,333188,335741,2020-05-01
100937,100937,#HB2.FY17 Route 58/ Holland Road Corridor Improvements,Suffolk,John.Alcaide@vdot.virginia.gov,"Curtis Contracting, Inc",G,G,45951216,0,2024-12-10
101028,101028,RTE 600 (Matoaca/Hickory) - ROUNDABOUT,Chesterfield County,brian.lokker@vdot.virginia.gov,Blakemore Construction Corporation,G,G,2252631,1977242,2020-04-22
101276,101276,Construct Paved Shoulders - (Cook Rd),York County,Carolyn.Daliege@VDOT.Virginia.gov,Branscome,R,G,415943,317501,2018-07-03
101305,101305,HIRST ROAD - SAFETY IMPROVEMENTS,Purcellville,Rita.Hockman@vdot.virginia.gov,Arthur Construction,R,R,398501,448060,2020-01-02
102763,102763,Meadow Creek Road (Rt. 658) realignment. FY13 RS,Montgomery County,Adam.Czesnowski@vdot.virginia.gov,King General Contractors Inc.,G,G,996943,994414,2021-02-02
102928,102928,MAPLE ST - IMPROVE DRAINAGE,Hopewell,Brian.Lokker@VDOT.Virginia.gov,Dickerson Construction,G,G,331037,340151,2020-06-30
102969,102969,"Streetscaping, storm, sanitary, underground utilites ",Newport News,Chessica.Villaflores@vdot.virginia.gov,"Basic Construction Company, LLC",R,R,8851663,7617293,2020-07-15
101287,101287,DUPUY AVE - MINOR WIDENING,Colonial Heights,Brian.Lokker@VDOT.Virginia.gov,"Shoosmith Construction, Inc",R,R,2484589,4174000,2020-07-01
102715,102715,Bridge Replacement - Churchland Bridge,Portsmouth,Marci.Thompson@vdot.virginia.gov,McLean Contracting,G,Y,34784000,4346387,2023-03-12
102895,102895,SYCOLIN ROAD - WIDEN TO FOUR LANES (PH IV),Leesburg,veljibhai.desai@vdot.virginia.gov,GENERAL EXCAVATION INC.,G,G,9592778,6733625,2020-07-28
102952,102952,RTE 10 (I-95 - Rt 1) - WIDENING,Chesterfield County,brian.lokker@vdot.virginia.gov,Branscome Inc,R,G,7434969,6725814,2020-11-17
102999,102999,Wythe Creek Road Traffic Signal Upgrade,Poquoson,Chessica.Villaflores@vdot.virginia.gov,Service Electric Corporation,G,G,96688,23884,2021-07-08
103021,103021,Turner Drive Intersection Improvements at Benns Church Blvd,Isle of Wight County,Derrick.Williams@vdot.virginia.gov,Bridgeman Civil,R,G,1171782,1104827,2020-04-04
103284,103284,SUNRISE VALLEY DRIVE SOUTH - SOAPSTONE- SOUTH LAKES - CMAQ,Fairfax County,Rita.Hockman@vdot.virginia.gov,"M&F Concrete, Inc.",R,G,563473,519425,2020-06-11
103393,103393,ASHLAND TROLLEY LINE TRAIL,Ashland,Brian.Lokker@VDOT.Virginia.gov,Talley & Armstrong,R,R,1217721,1202684,2019-09-30
102970,102970,CHERRY GARDENS - STORMWATER UTILITY - PHASE 2,Richmond,Brian.Lokker@vdot.virginia.gov,Messer Contracting,G,G,445583,445583,2020-04-20
103013,103013,"Rte 11 - Improve Drainage, Add Sidewalks and C&G",Winchester,Kim.Cameron@vdot.virginia.gov,Arthur Construction,G,G,8994892,859253,2022-07-10
103262,103262, Tyson East Sidewalk South Side of Route 123 - CMAQ,Fairfax County,Rita.hockman@vdot.virginia.gov,Ashburn Contracting Corporation,R,G,1481264,1543250,2020-04-08
103285,103285,SUNRISE VALLEY DRIVE SIDEWALK NORTH - ASSOCIATION TO PRESTON,Fairfax County,Rita.Hockman@vdot.virginia.gov,"M&F Concrete, inc.",R,G,573990,510861,2020-06-11
103584,103584,Highway 301 North Sidewalk,Greensville County,Marci.Thompson@vdot.virginia.gov,MCC Acquisition CC d/b/a Virginia-Carolina Paving Co.,R,G,627175,644087,2020-04-22
104078,104078,Commonwealth Blvd Bridge Repairs,Martinsville,Jessie.Nester@vdot.virginia.gov,Burleigh Construction,R,G,1171213,1164710,2020-09-25
104229,104229,Realignment of curve Highland Avenue/High St.,Bluefield,Roger.Musser@VDOT.Virginia.gov,CLECO Corporation,G,G,693165,0,2021-09-15
104262,104262,Airport Road and Warrior Drive Extension,Frederick County,Steven.Damron@VDOT.Virginia.gov,Perry Engineering,G,G,7078226,5650077,2021-09-10
103577,103577,Pierce Elementary School Connector Trail,Fauquier County,John.Price@VDOT.Virginia.gov,"Synchronized Construction Services,inc",R,R,378305,453340,2019-06-07
